Category,Responses
Gender,
Male,80
Female,13
,
Occupation,
Wildland Firefighter,40
Nature Conservator,39
Firefighter (general),18
Consultant,17
Volunteer Firefighter,15
,
Province,
Western Cape,81
Mpumalanga,6
Eastern Cape,4
KwaZulu Natal,4
North West,4
Gauteng,3
Limpopo,2
Response,1
Free State,1
Northern Cape,1
,
Race,
White,39
white,14
Caucasian,4
European,3
caucasian,2
w,2
WHITE,2
African,2
Black,1
Wite,1
black,1
Human,1
Open-Ended Response,1
Coloured,1
South African ,1
European descent,1
white African,1
Caucasion,1
,
Total Responses,109
