Respondent ID,Category,Question,Response,Race,Gender,Province,Occupation,Demography
1.14379E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Fynbos,,,Western Cape,,nan | nan | Western Cape | nan
1.14379E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Human and Animal Deaths,White,Male,Free State,,European | Male | Free State | nan
1.14379E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of life,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14372E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Damage to plantation,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14379E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,"Destruction of fauna, flora, feedsources, erosion, etc",White,Male,Western Cape,,White | Male  | Western Cape | nan
1.14378E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,"Threats to lives, and damage to livelihoods and properties",,Male,Western Cape,,nan | Male | Western Cape | nan
1.14377E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Negative impacts on biodiversity - too frequent fires,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14377E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of life,White,Male,Mpumalanga,,Caucasian | Male | Mpumalanga | nan
1.14377E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,lost of property,White,Male,Western Cape,"a.	Firefighter (general)","White | Male | Western Cape | a.	Firefighter (general)"
1.14377E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Vegitation distruction,,,Western Cape,,nan | nan | Western Cape | nan
1.14377E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Life,White,Male,Western Cape,"a.	Firefighter (general)","White African | Male | Western Cape | a.	Firefighter (general)"
1.14377E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of life and livelyhoods,White,Male,Western Cape,"a.	Firefighter (general)","White | Male | Western Cape | a.	Firefighter (general)"
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Property damage,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Risk to housing,,Male,Western Cape,,nan | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Air Polution,,Male,Western Cape,"a.	Firefighter (general)","nan | Male | Western Cape | a.	Firefighter (general)"
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Destruction of commercial tree farms / plantations,White,Male,Eastern Cape,,White | Male | Eastern Cape | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,bad timing - poor vegetation recovery,White,Male,Western Cape,,European descent | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of biodiversity,White,Female,Western Cape,,Caucasian | Female | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of Biodiversity,White,Female,Western Cape,,White | Female | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Unwanted death of wildlife and their habitat,White,Male,Western Cape,,w | m | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Destruction of property,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of life,,Male,Eastern Cape,,nan | Male | Eastern Cape | nan
1.14366E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,To frequent wild fires in the fynbos biome is harmful,,Male,Western Cape,,nan | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of life,,Male,Western Cape,"a.	Firefighter (general)","nan | Male | Western Cape | a.	Firefighter (general)"
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of lives,,,Western Cape,,nan | nan | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss to economic assets,,Male,Western Cape,,nan | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Invasive Alien Vegetation,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Altering of the natural fire regime,White,Male,Western Cape,,caucasian | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of life,White,Male,Western Cape,,White | Male | Western Cape | nan
